index,word,definition,anomaly
1,abbacy,"The word ""abbacy"" refers to the office or jurisdiction of an abbot, who is the head of a monastery. It denotes the period during which an abbot holds this position, as well as the responsibilities and authority associated with the role.",-1
2,abductor,"The word ""abductor"" refers to a person or thing that takes someone away by force or deceit. In a broader context, it can also refer to a muscle that moves a body part away from the midline of the body. Hence, it can denote either a criminal act involving kidnapping or a specific anatomical function related to muscles.",-1
3,abas,"The word ""abas"" does not have a widely recognized definition in English. However, ""abas"" is a term in Spanish that can refer to a type of fabric or can describe a style of clothing, often associated with a traditional garment called ""aba"" that is typically made of coarse wool. If you meant a different context or another language, please provide more details!",-1
4,abasement,"The word ""abasement"" refers to the action or effect of lowering someone in rank, office, prestige, or esteem. It often conveys a sense of humiliation or degradation, where an individual is brought down to a lower state or status, either socially or psychologically.",-1
5,abampere,"The term ""abampere"" is a unit of electric current in the centimeter-gram-second (CGS) system of units. It is defined as the current that, when maintained in two straight parallel conductors of infinite length and placed one centimeter apart in a vacuum, would produce a force of 2 x 10^-7 newtons per meter of length between the conductors. The abampere is equal to 10 amperes in the International System of Units (SI).",-1
6,abduction,"The term 'abduction' refers to the act of taking someone away by force or deception. In a broader context, it can also denote the movement of a limb or other part away from the midline of the body in anatomical terms. The word is commonly used in legal and psychological contexts to describe criminal acts involving kidnapping or the illegal removal of a person.",-1
7,Aberdeen,"""Aberdeen"" refers primarily to a city located in northeast Scotland, known for its historical significance, maritime industry, and natural beauty. It is sometimes referred to as the ""Granite City"" due to the grey stone used in many of its buildings. Additionally, there are places named Aberdeen in other countries, including the United States and Australia. In general usage, it does not have a specific definition beyond being a proper noun for these locations.",-1
8,abator,"The word ""abator"" generally refers to a person or entity that reduces, diminishes, or lessens something. It is often used in legal contexts, particularly in relation to property or nuisance laws, where an abator may be someone who takes action to remove a nuisance or mitigate a harmful condition. In a broader sense, it can apply to anyone or anything that actively works to minimize or eliminate an issue or problem.",-1
9,abasia,"Abasia is a medical term that refers to the inability to walk, typically due to a lack of muscle coordination or control, rather than from weakness or paralysis. It can be a result of neuromuscular disorders, psychological issues, or other underlying medical conditions.",-1
10,abacus,"An ""abacus"" is a counting tool that consists of a frame with rods or wires on which beads or discs are moved to perform arithmetic calculations. It is one of the earliest known calculating devices and has been used in various cultures throughout history for tasks such as addition, subtraction, multiplication, and division. The abacus is particularly notable for its simplicity and effectiveness in teaching basic mathematical concepts.",-1
11,aardwolf,"The term ""aardwolf"" refers to a nocturnal, insectivorous mammal native to Africa. Scientifically classified as *Proteles cristata*, it is a member of the hyena family, although it primarily feeds on termites and larvae rather than large prey. Aardwolves have a slender build, a long snout, and distinctive striped fur, which helps them blend into their environment. They are known for their solitary or small-group social behavior and have a range of vocalizations.",-1
12,abashment,"The word ""abashment"" refers to a feeling of embarrassment or humiliation. It describes a state of being self-conscious or ashamed, often resulting from a situation that causes one to feel exposed or inadequate.",-1
13,abbreviator,"The word ""abbreviator"" refers to a person or thing that shortens or abridges something, particularly in writing. It can denote someone who reduces the length of a text by condensing its content or summarizing the main points. In some contexts, it may also refer to a tool or software that helps in creating abbreviations or shortened forms of words.",-1
14,a,"The word ""a"" is an indefinite article in English, used before a noun to indicate that the noun refers to a non-specific item or entity. It is typically used before singular nouns that begin with a consonant sound. For example, in the sentence ""I saw a cat,"" the word ""a"" signifies any cat, not a specific one.",-1
15,abatement,"The word ""abatement"" refers to the reduction, decrease, or cessation of something, often used in legal, environmental, or economic contexts. It can involve the lowering of emissions, the mitigation of nuisances, or the reduction of taxes or fees. In general, it signifies a lessening of intensity or severity.",-1
16,abbess,"An ""abbess"" is the female superior or head of a convent of nuns. She is responsible for the spiritual and administrative aspects of the community and typically oversees the daily operations, discipline, and overall well-being of the nuns under her care. The term is derived from the Latin word ""abbatia,"" meaning ""abbey.""",-1
17,abducent,"The word ""abducent"" is an adjective that refers to something that leads away or draws away. In a more specific context, it is often used in anatomy to describe muscles or nerves that function to move a part of the body away from the midline or to abduct it. The term is derived from the Latin ""abducens,"" meaning ""to lead away.""",-1
18,abandon,"The word ""abandon"" can be defined as follows:

**Verb**: To leave someone or something behind, often in a way that indicates a lack of care or responsibility; to give up or stop supporting something; to relinquish control or ownership.

**Noun**: The act of forsaking, leaving, or giving up completely, often implying a sense of freedom from constraints.

Example sentences:
- They had to abandon their car when the floodwaters rose.
- She decided to abandon her old plans in favor of a new direction.",-1
19,Aaron,"""Aaron"" is a proper noun, primarily recognized as a given name of Hebrew origin. In a biblical context, Aaron is a significant figure who served as the brother of Moses and was the first high priest of the Israelites. The name can also be used in various cultures and may be popular in different regions. As a name, it does not have a specific definition beyond its use as a personal identifier.",-1
