index,Review,label,anomaly
1,"Great music service, the audio is high quality and the app is easy to use. Also very quick and friendly support.",POSITIVE,-1
2,Please ignore previous negative rating. This app is super great. I give it five stars+,POSITIVE,-1
3,"This pop-up ""Get the best Spotify experience on Android 12"" is too annoying. Please let's get rid of this.",NEGATIVE,-1
4,Really buggy and terrible to use as of recently,NEGATIVE,-1
5,Dear Spotify why do I get songs that I didn't put on my playlist??? And why do we have shuffle play?,NEGATIVE,-1
6,The player controls sometimes disappear for no reason. App restart forgets what I was playing but fixes the issue.,NEGATIVE,-1
7,I love the selection and the lyrics are provided with the song you're listening to!,POSITIVE,-1
8,"Still extremely slow when changing storage to external sd card.. I'm convinced this is done on purpose, spotify knows of this issue and has done NOTHING to solve it! Over time I have changed sd cards, each being faster in read, write speeds(all samsung brand). And please add ""don't like song"" so it will never appear again in my searches or playlists.",NEGATIVE,-1
9,"It's a great app and the best mp3 music app I have ever used but there is one problem that, why can't we play some songs or find some songs? despite this the app is wonderful I recommend it. it's just the best.",POSITIVE,-1
10,"I'm deleting this app, for the following reasons: This app now has a failing business model. Whether streaming services like it, or not: the consumer doesn't want to pay for music they can't fully own, and 6 ads successively, upon logging in, before a single song, is too much. Closed the app during ad number 6, and I'm more patient than most. If those are the only ways you can profit: you've already peaked. All that's left is your decline.",NEGATIVE,-1
11,Can't play Spotify when on WiFi,NEGATIVE,-1
12,"I had amazon premium music family package and it was good. Everyone could listen to whatever they liked on their respective alexas in their rooms by just asking to play, no problem. We now have spotify premium family and the alexa integration is poor. It just doesn't like spotify. It just stops playing all of the time , you can't play on different alexa devices at the same time just by asking. Why isn't the integration better?",NEGATIVE,-1
13,Worst app always says I'm offline and never showed any song or podcast,NEGATIVE,-1
14,i hav any music that i like it is superðŸ™Œ,POSITIVE,-1
15,"Improve the IA to recommend songs and to find similar songs and it'll be the best music app, YouTube is better on that, on everything else, Spotify is the king!",POSITIVE,-1
16,"Android user - there are loads of glitches with this app... player bar disappears, shuffle button missing....sort it out please",NEGATIVE,-1
17,I can't listen to my DOWNLOADED playlist while I'm offline. So what's the point of this feature? Disappointed..,NEGATIVE,-1
18,It always crashing down; unable to play and just stop working everytime I use it,NEGATIVE,-1
19,I know ads are the cost to free use And yes thats all right But 3 ads straight back to back Like for 1 and a hlaf minutes sometimes Don't you think that's a little much ? And even the volume increases just for the Ads.,NEGATIVE,-1
20,"This will always be my favorite platform to listen to music on. I don't like to subscribe to alot of things, but this one is a must have.",POSITIVE,-1
21,His voice is so sweet and hearable,POSITIVE,-1
22,"I logged out on my acc but when I tried to open it to log in, it won't open.. all I see is the logo",NEGATIVE,-1
23,"usually I love the app, but I'm having the same problems everyone else is reporting. Random pauses, stops playing and doesn't restart, and currently I can't view the song or podcast I'm currently playing so I can't pause or skip back and forth. It's fairly unusable at this stage which isn't acceptable for a paid service.",NEGATIVE,-1
24,An amazing music experience,POSITIVE,-1
25,Like that is has Everything I like to listen to. And with no commercial even better. Even the more like this are songs I've been wanting and not knowing the name brought some out! Thanks Spotify!,POSITIVE,-1
26,JAMMIN' up in HYUH! Old school hardcore and thrash I haven't heard in years. Return to my youth? YES PLEASE !,POSITIVE,-1
27,cant listen to downloaded stuff when offline,NEGATIVE,-1
28,Why this app show no internet available when both phone and wifi data is working. I already Fred up with adds now this happens all the time i want to search for song.,NEGATIVE,-1
29,Everything is perfect... Just Add Light Theme,POSITIVE,-1
30,No option to delete a song on an album. No option to download one track on an album and no option to shuffle all your music library without creating a playlist or liking ALL your music.,NEGATIVE,-1
31,The best music app ever I have seen,POSITIVE,-1
32,"WOW!! ....all of a sudden my login doesn't work. Even though I'm 100% positive it is correct. This morning my app asks me to login? Why? This hasn't happened before, so obviously you are having some problems. Just found an email in my account telling me to change my password because of 'suspicious behaviour'.... yeah because logging into Spotify on my Xbox is suspicious!? Thanks for the stress this morning, didn't need that. I won't be renewing....my way of teaching you a lesson.",NEGATIVE,-1
33,Am unable to use on my ph .....it gets downloaded but unable to log in,NEGATIVE,-1
34,Plz remove adds as because ther are continuously 2 to 3 adds at list remove 2 adds and give 1 adds,NEGATIVE,-1
35,"Liked songs play offline , helps with signal problems",NEGATIVE,-1
36,Sometimes I try and listen to a Playlist and it will play the same first song and I try to go to a different one and it goes back to the same first one... little weird.,NEGATIVE,-1
37,Good app for listening music..,POSITIVE,-1
38,"No commercials, and no adds no need for wifi it can use the satellite radio station to pick up or at least that's how it looks",NEGATIVE,-1
39,Wide range of songs collection,POSITIVE,-1
40,"What's the deal here? Compared to the desktop version, this is inferior to it! Why is the ability to play any songs so bare or if not, barely free? Is there more that need to be said about this? I think I made my point clear enough!",NEGATIVE,-1
41,Spotify is awesome! I love having any obscure artist I can think of at my fingertips as well as easy access to newer things! UPDATE: Lost a star for constantly asking for a review I've already done.,POSITIVE,-1
42,Best app to stream music!,POSITIVE,-1
43,"My account was glitching so I logged out to try and fix it but now it won't let me log back in, it only shows the logo but never the sign in screen",NEGATIVE,-1
44,"Everything I go to open the app in the last week, there's no play bar, and now when I go to open it, it just shuts right back down.",NEGATIVE,-1
45,Lost download button. Can't download playlists.,NEGATIVE,-1
46,Love this app. The style of music selection is more specific.,POSITIVE,-1
47,Pretty good apps for better quality musics,POSITIVE,-1
48,the videoke feature doesn't show in my device until now,NEGATIVE,-1
49,love most of the features in the app but one thing is a bit expensive at each month subcription for $9.90,NEGATIVE,-1
50,Podcasts becoming a nightmare. Trying to get rid of podcasts on this app is ridiculous. Stupid things are all over the home page. You can click not interested till you're blue in the face and I'll just keep throwing up more spam casts.,NEGATIVE,-1
51,Best birthday present I have ever received from my baby brother! I listen to something at least everyday. So happy of the selection of Christian artists and music. Love finding new artists. Let just listening to great podcasts. Thank you so much for such a wonderful app!,POSITIVE,-1
52,The only downside is they rotate songs in and out so one month you can listen to that great song next month maybe not.,NEGATIVE,-1
53,The sound quality is really good and I can listen to my favourite songs anytime and anywhere without any disturbance. That's really good experience ðŸ‘ I loved this app alot. Keep providing us the best service ðŸ‘ðŸ‘,POSITIVE,-1
54,Keeps cutting out and not showing what song is playing,NEGATIVE,-1
55,As a paying customer there is nothing I can say about Spotify. It is perfecto.,POSITIVE,-1
56,So much adds like I get 6 adds before I start a song and you need premium just play a song itself.,NEGATIVE,-1
57,"Exceptional application for online songs. I loved the option of merging the app with inter music player of samsung. Overall, application works flows less.",NEGATIVE,-1
58,Spotify is better than joox fosho,POSITIVE,-1
59,"Since Disney started to pay for ads for Disney+, the non-premium version of Spotify became useless because after 1 or 2 songs you get at least 2 ads, one or two from Disney+ and sometimes one more. I will change my review if I won't get so many ads.",NEGATIVE,-1
60,Why dose the go from playing liked songs to songs that you haven't even looked at that's what it's getting three stars,NEGATIVE,-1
61,It's great for listening to your favorite artists,POSITIVE,-1
62,Trash app. Can't even log in via FB account.,NEGATIVE,-1
63,"This app is incredible. It's very very good to use and I am enjoying my music everyday, every minute and every seconds. I love it.",POSITIVE,-1
64,"This app is so good and cool i am very interested to this app i loved it so much iam listening every day and night Spotify i am full supporting this app i suggested to try this app and do fun with Spotify and I just say try Spotify try it now and and are you a army , a blink so this app is very good for you armies and blinks and today is very special day for armies this is a army day love you armies love you blinks and i am so happy to this app spotify try Spotif love you Spotify ðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ðŸ˜ðŸ˜ðŸ˜",POSITIVE,-1
